Processing file: /Users/adityamagarde/Documents/UCR/CS240_NR/AnamolyDetection/scripts/data_proc/final_csvs/type1_labelwise_nans_avg_labelled_merged.csv
Row numbers with NaN values: []
Initial check for NaN values: False
Initial check for Infinite values: False
After scaling, NaN values in X: False
After scaling, Infinite values in X: False
Epoch 105: {'accuracy': 0.953330397605896, 'loss': 0.12460673600435257, 'val_accuracy': 0.9128617644309998, 'val_loss': 0.22791266441345215}
Epoch 106: {'accuracy': 0.9555398225784302, 'loss': 0.12185496836900711, 'val_accuracy': 0.9093247652053833, 'val_loss': 0.23392829298973083}
Epoch 107: {'accuracy': 0.9544487595558167, 'loss': 0.12326109409332275, 'val_accuracy': 0.9173633456230164, 'val_loss': 0.23264853656291962}
Epoch 108: {'accuracy': 0.9550760984420776, 'loss': 0.12261994928121567, 'val_accuracy': 0.9061093330383301, 'val_loss': 0.2570861577987671}
Epoch 109: {'accuracy': 0.9567126631736755, 'loss': 0.12042758613824844, 'val_accuracy': 0.9064308404922485, 'val_loss': 0.2601986229419708}
Epoch 110: {'accuracy': 0.9559489488601685, 'loss': 0.12197647243738174, 'val_accuracy': 0.9122186303138733, 'val_loss': 0.23952199518680573}
Epoch 111: {'accuracy': 0.9560307860374451, 'loss': 0.11897030472755432, 'val_accuracy': 0.918006420135498, 'val_loss': 0.23264086246490479}
Epoch 112: {'accuracy': 0.9546396732330322, 'loss': 0.12152571976184845, 'val_accuracy': 0.9125401973724365, 'val_loss': 0.24134813249111176}
Epoch 113: {'accuracy': 0.95652174949646, 'loss': 0.11773166060447693, 'val_accuracy': 0.9073954820632935, 'val_loss': 0.24675673246383667}
Epoch 114: {'accuracy': 0.9579946398735046, 'loss': 0.11633197963237762, 'val_accuracy': 0.9192926287651062, 'val_loss': 0.21173444390296936}
Epoch 115: {'accuracy': 0.9574218392372131, 'loss': 0.11667907238006592, 'val_accuracy': 0.9041800498962402, 'val_loss': 0.2537515163421631}
Epoch 116: {'accuracy': 0.9562489986419678, 'loss': 0.11872129142284393, 'val_accuracy': 0.9144694805145264, 'val_loss': 0.23410797119140625}
Epoch 117: {'accuracy': 0.9581310153007507, 'loss': 0.1147930696606636, 'val_accuracy': 0.9183279871940613, 'val_loss': 0.23201581835746765}
Epoch 118: {'accuracy': 0.9579946398735046, 'loss': 0.11338120698928833, 'val_accuracy': 0.9144694805145264, 'val_loss': 0.23693540692329407}
Epoch 119: {'accuracy': 0.9579674005508423, 'loss': 0.11271493136882782, 'val_accuracy': 0.9054662585258484, 'val_loss': 0.25803235173225403}
Epoch 120: {'accuracy': 0.9591675400733948, 'loss': 0.1134456992149353, 'val_accuracy': 0.9144694805145264, 'val_loss': 0.23020398616790771}
Epoch 121: {'accuracy': 0.9591130018234253, 'loss': 0.11186306178569794, 'val_accuracy': 0.9173633456230164, 'val_loss': 0.22176215052604675}
Epoch 122: {'accuracy': 0.9597403407096863, 'loss': 0.11055996268987656, 'val_accuracy': 0.918006420135498, 'val_loss': 0.2099020779132843}
Epoch 123: {'accuracy': 0.9618405699729919, 'loss': 0.1084241047501564, 'val_accuracy': 0.9167202711105347, 'val_loss': 0.22672699391841888}
Epoch 124: {'accuracy': 0.9591947793960571, 'loss': 0.1129063293337822, 'val_accuracy': 0.9151125550270081, 'val_loss': 0.22836336493492126}
Epoch 125: {'accuracy': 0.9598767161369324, 'loss': 0.10922754555940628, 'val_accuracy': 0.916077196598053, 'val_loss': 0.2342139035463333}
