Processing file: /Users/adityamagarde/Documents/UCR/CS240_NR/AnamolyDetection/scripts/data_proc/final_csvs/type1_labelwise_nans_avg_labelled_merged.csv
Row numbers with NaN values: []
Initial check for NaN values: False
Initial check for Infinite values: False
After scaling, NaN values in X: False
After scaling, Infinite values in X: False
Epoch 108: {'accuracy': 0.848207950592041, 'loss': 0.3374212384223938, 'val_accuracy': 0.7945337891578674, 'val_loss': 0.3871768116950989}
Epoch 109: {'accuracy': 0.8494626879692078, 'loss': 0.33711114525794983, 'val_accuracy': 0.8077170252799988, 'val_loss': 0.38030409812927246}
Epoch 110: {'accuracy': 0.8482352495193481, 'loss': 0.33545035123825073, 'val_accuracy': 0.8186495304107666, 'val_loss': 0.35255900025367737}
Epoch 111: {'accuracy': 0.8488625884056091, 'loss': 0.3374599516391754, 'val_accuracy': 0.796141505241394, 'val_loss': 0.3856847584247589}
Epoch 112: {'accuracy': 0.8512083292007446, 'loss': 0.3358629047870636, 'val_accuracy': 0.7874597907066345, 'val_loss': 0.41528943181037903}
Epoch 113: {'accuracy': 0.8508537411689758, 'loss': 0.33491837978363037, 'val_accuracy': 0.7797427773475647, 'val_loss': 0.42243704199790955}
Epoch 114: {'accuracy': 0.8516174554824829, 'loss': 0.3330981135368347, 'val_accuracy': 0.8054662346839905, 'val_loss': 0.3782574534416199}
Epoch 115: {'accuracy': 0.8498172760009766, 'loss': 0.33738163113594055, 'val_accuracy': 0.7903537154197693, 'val_loss': 0.3900904655456543}
Epoch 116: {'accuracy': 0.8510719537734985, 'loss': 0.3341681659221649, 'val_accuracy': 0.8006430864334106, 'val_loss': 0.3843036890029907}
Epoch 117: {'accuracy': 0.8509082794189453, 'loss': 0.3345785140991211, 'val_accuracy': 0.8041800856590271, 'val_loss': 0.3974333107471466}
Epoch 118: {'accuracy': 0.851126492023468, 'loss': 0.33317676186561584, 'val_accuracy': 0.7945337891578674, 'val_loss': 0.39497917890548706}
Epoch 119: {'accuracy': 0.8521902561187744, 'loss': 0.33222588896751404, 'val_accuracy': 0.8025723695755005, 'val_loss': 0.38916295766830444}
Epoch 120: {'accuracy': 0.8502536416053772, 'loss': 0.33314934372901917, 'val_accuracy': 0.8090032339096069, 'val_loss': 0.3830817937850952}
Epoch 121: {'accuracy': 0.8510446548461914, 'loss': 0.33606112003326416, 'val_accuracy': 0.7964630126953125, 'val_loss': 0.39903563261032104}
